"name","category","url","Sow/ plant outdoors","Article number","Portion contents","Harvest","Thousand grain weight","Pre-cultivation","Plant outdoors","Sow/ plant in greenhouse","Blossoming period"
"Thai basil","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/thai_basil/","[9,10,11]","Kr3","0.7 g","[12,13,14,15,16,17]","1.05 g","[7,8,9]",,,
"Basil a foglia di lattuga","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/basil_a_foglia_di_lattuga/","[7,8,9,10]","Kr9","0.5 g","[11,12,13,14,15,16,17,18]","1.77 g","[3,4,5,6,7,8]",,,
"Basil Rosso","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/basil_rosso/","[10,11]","Kr12","für ca. 500 Pflanzen","[12,13,14,15,16,17]","1.36 g","[8]",,,
"Basil mixture, green/red","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/basil_mixture_green_red/","[10,11]","Kr8","1 g","[12,13,14,15,16,17]","1.52 g","[8]",,,
"Marjoram (Dost)","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/marjoram_dost/","[10,11,12]","Kr25","0.3 g","[11,12,13,14,15,16]","0.15 g","[7,8,9]",,,
"Lavender Hidcote Blue","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/lavendel_hidcote_blue/","[9,10,11]","Kr58","0.2 g","[13,14,15,16]","0.80 g","[4,5,6,7]",,,
"Basil Genovese","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/basil_genovese/","[10,11]","Kr11","für ca. 500 Einzelpflanzen.","[12,13,14,15,16,17]","1.57 g","[8]",,,
"Chives, thick-leaved","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/chives_thick-leaved/","[6,7,8,9,10,11,12,13]","Kr31","0.7 g","[9,10,11,12,13,14,15,16,17,18,19,20]","1.17 g","[5,6,7,8]",,,
"Hyssop","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/hyssop/","[9,10,11,12,13,14,15]","Kr45","für ca. 200 Pflanzen","[8,9,10,11,12,13,14,15,16,17,18]","1.03 g","[5,6,7,8]",,,
"Lemon basil, Sweet Dany","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/lemon_basil_sweet_dany/","[10,11]","Kr7","0.9 g","[12,13,14,15,16,17]","2.02 g","[8]",,,
"Basil italica","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/basil_italica/","[10,11]","Kr16","0.8 g","[12,13,14,15,16,17]","1.57 g","[8]",,,
"Chives, medium-leaved","Culinary and aromatic herbs","https://www.reinsaat.at/shop/EN/culinary_and_aromatic_herbs/chives_medium-leaved/","[6,7,8,9,10,11,12,13]","Kr47","für ca. 3m²","[9,10,11,12,13,14,15,16,17,18,19,20]","1.17 g","[5,6,7,8]",,,
"Malabar spinach","Conservation varieties","https://www.reinsaat.at/shop/EN/conservation_varieties/malabar_spinach/","[10,11,12]","CV16","für ca. 30 Pflanzen","[10,11,12,13,14,15]","32.04 g","[6,7,8,9]","[10,11,12,13]",,
"Runa","New varieties 2023","https://www.reinsaat.at/shop/EN/new_varieties_2023/runa/",,"Pa60","30 Korn","[14,15,16,17,18]","8.30 g","[2,3,4,5,6]","[10,11]","[8]",
"Blanche ronde a oeuf","New varieties 2023","https://www.reinsaat.at/shop/EN/new_varieties_2023/blanche_ronde_a_oeuf/","[10,11]","Me22","30 seeds","[14,15,16,17,18,19]","3.97 g","[2,3,4,5,6]",,"[5,6,7,8,9,10]",
"Goccia D'Oro","New varieties 2023","https://www.reinsaat.at/shop/EN/new_varieties_2023/goccia_d_oro/",,"Pa29","25 seeds","[14,15,16,17,18]","6.17 g","[2,3,4,5,6]","[10,11]","[8]",
